Galaxy,Supernova,60pcFile,90pcFile,120pcFile,150pcFile,500pcFile,750pcFile,1000pcFile
circinus,SN1996cr,no,no,no,yes,yes,yes,no
ngc0253,SN1940E,no,no,no,yes,yes,yes,no
ngc0628,SN2013ej,yes,yes,yes,yes,yes,yes,no
ngc1068,SN2018ivc,no,no,no,no,no,yes,no
ngc1087,SN1995V,no,no,yes,yes,yes,yes,no
ngc1097,SN1999eu,no,no,yes,yes,yes,yes,no
ngc1097,SN1992bd,no,no,yes,yes,yes,yes,no
ngc1365,SN2001du,no,no,yes,yes,yes,yes,no
ngc1365,SN1983V,no,no,yes,yes,yes,yes,no
ngc1365,SN2012fr,no,no,yes,yes,yes,yes,no
ngc1433,SN1985P,no,yes,yes,yes,yes,yes,no
ngc1511,SN1935C,no,no,yes,yes,yes,yes,no
ngc1559,SN2009ib,no,no,yes,yes,yes,yes,no
ngc1559,SN2005df,no,no,yes,yes,yes,yes,no
ngc1559,SN1984J,no,no,yes,yes,yes,yes,no
ngc1559,SN1986L,no,no,yes,yes,yes,yes,no
ngc1566,ASASSN-14ha,no,no,yes,yes,yes,yes,no
ngc1566,SN2010el,no,no,yes,yes,yes,yes,no
ngc1637,SN1999em,no,yes,yes,yes,yes,yes,no
ngc1672,SN2017gax,no,no,no,no,yes,yes,no
ngc2775,SN1993Z,no,no,yes,yes,yes,yes,no
ngc2997,SN2008eh,no,no,yes,yes,yes,yes,no
ngc2997,SN2003jg,no,no,yes,yes,yes,yes,no
ngc3239,SN2012A,no,yes,yes,yes,yes,yes,no
ngc3627,SN1973R,no,yes,yes,yes,yes,yes,no
ngc3627,SN1989B,no,yes,yes,yes,yes,yes,no
ngc3627,SN2016cok,no,yes,yes,yes,yes,yes,no
ngc3627,SN2009hd,no,yes,yes,yes,yes,yes,no
ngc4254,SN1986I,no,no,yes,yes,yes,yes,no
ngc4254,SN2014L,no,no,yes,yes,yes,yes,no
ngc4254,SN1967H,no,no,yes,yes,yes,yes,no
ngc4254,SN1972Q,no,no,yes,yes,yes,yes,no
ngc4303,SN1961I,no,no,no,yes,yes,yes,no
ngc4303,SN1926A,no,no,no,yes,yes,yes,no
ngc4303,SN1999gn,no,no,no,yes,yes,yes,no
ngc4303,SN2006ov,no,no,no,yes,yes,yes,no
ngc4303,SN2020jfo,no,no,no,yes,yes,yes,no
ngc4303,SN1964F,no,no,no,yes,yes,yes,no
ngc4303,SN2014dt,no,no,no,yes,yes,yes,no
ngc4321,SN1959E,no,no,yes,yes,yes,yes,no
ngc4321,SN2006X,no,no,yes,yes,yes,yes,no
ngc4321,SN2020oi,no,no,yes,yes,yes,yes,no
ngc4321,SN2019ehk,no,no,yes,yes,yes,yes,no
ngc4321,SN1901B,no,no,yes,yes,yes,yes,no
ngc4321,SN1979C,no,no,yes,yes,yes,yes,no
ngc4424,SN2012cg,no,yes,yes,yes,yes,yes,no
ngc4457,SN2020nvb,no,yes,yes,yes,yes,yes,no
ngc4496a,SN1988M,no,yes,yes,yes,yes,yes,no
ngc4496a,SN1960F,no,yes,yes,yes,yes,yes,no
ngc4536,SN1981B,no,no,yes,yes,yes,yes,no
ngc4579,SN1989M,no,no,no,no,yes,yes,no
ngc4579,SN1988A,no,no,no,no,yes,yes,no
ngc4945,SN2011ja,no,no,yes,yes,yes,yes,no
ngc5128,SN1986G,no,no,no,yes,yes,yes,no
ngc5128,SN2016adj,no,no,no,yes,yes,yes,no
ngc5236,SN1983N,yes,yes,yes,yes,yes,yes,no
ngc5236,SN1968L,yes,yes,yes,yes,yes,yes,no
ngc5236,SN1923A,yes,yes,yes,yes,yes,yes,no
ngc5236,SN1950B,yes,yes,yes,yes,yes,yes,no
ngc5236,SN1957D,yes,yes,yes,yes,yes,yes,no
ngc5530,SN2007it,no,yes,yes,yes,yes,yes,no
ngc6744,SN2005at,yes,yes,yes,yes,yes,yes,no
ngc7793,SN2008bk,no,no,no,yes,yes,yes,no
